Id,Coordinates,Spectral Type,Temperature,Vmag,Jmag,RV_Prec(415 +- 35),RV_Prec(500 +- 50),RV_Prec(600 +- 50),RV_Prec(700 +- 50),RV_Prec(800 +- 50),RV_Prec(900 +- 50),RV_Prec(1050 +- 100),RV_Prec(1287.5 +- 137.5),RV_Prec(1602.5 +- 177.5),RV_Prec(2180 +- 200),RV_Prec(370 - 890)
2683023811628007296,undefined,,3501.576416015625,9.136045477938652,,2.262250339684017,0.404991116393265,0.4067527556495068,0.2361186420373691,0.4287524719704091,0.9573472901354196,0.9520619856563298,1.5278485740490224,0.8438340408808145,0.8438340408808145,0.1558994557161122
4282578724832056576,undefined,,3560.908935546875,9.198852892017364,,2.5337500619007063,0.4426240698973264,0.4332653409109266,0.2536806870059311,0.4789297433091578,1.064753773649714,1.0455002017438912,1.6782447738184068,0.9070980870416964,0.9070980870416964,0.1688656910994149
6673000841376349696,undefined,,3588.5205078125,7.940663443403244,,2.660097876881576,0.4601373159798395,0.4456035016645531,0.2618535351777706,0.5022807380858421,1.114737524631157,1.0889835406658788,1.7482346473517656,0.9365392736993264,0.9365392736993264,0.1748637209503251
4946938113149426944,undefined,,3611.961181640625,8.923683404374122,,2.767360074462044,0.4750050781319774,0.4560779070726357,0.2687918241821016,0.5221044209553591,1.1571709214761774,1.1258984528201958,1.807652118439048,0.9615331873712988,0.9615331873712988,0.1799406724823496
70051608089857536,undefined,,3655.815185546875,9.574197540903093,,2.9680316450055035,0.5028204431798345,0.4756739570432883,0.2817723278711016,0.559191574352502,1.2365574768560077,1.1949607465786594,1.9188133430807548,1.0082930713166154,1.0082930713166154,0.1894066900842796
354077348697687424,undefined,,3731.829833984375,9.376916184692384,,3.080617931973219,0.5292314397888974,0.5077402545379045,0.3258614294669761,0.6279329346403502,1.3292972734827997,1.2649077700367082,2.042635360431079,1.0736165034512728,1.109378820027704,0.2102633129810708
1471777269618346240,undefined,,3739.438232421875,8.9887097052145,,3.0592007547784403,0.5288455936633382,0.5106857277780898,0.3332740226396933,0.63543247905263,1.3323460013199655,1.2649947212762709,2.0454612757168653,1.0779694998818787,1.1222802101978144,0.2128219416940847
4389844948935164544,undefined,,3754.77587890625,9.277248682932854,,3.0160262161149958,0.5280677727434943,0.5166234593070386,0.3482169484800736,0.6505506884805807,1.3384918821091545,1.2651700048638417,2.051157992312905,1.086744634484624,1.148287912503579,0.2178116156296869
272855565763652480,undefined,,3760.628173828125,8.582956458272934,,2.9995523631264174,0.5277709842222589,0.5188890843564701,0.3539186321838088,0.6563192541045944,1.3408369294389166,1.2652368867841195,2.0533316547219536,1.0900929106185624,1.1582115174248897,0.2196586486365009
6171492113110925312,undefined,,3826.126953125,8.993509238524437,,2.8151772973663456,0.5244493324412476,0.5442459190791188,0.4177317734415449,0.7208809366087554,1.3670826568916952,1.2659854280305447,2.077659245230768,1.1275667567677168,1.269276324863207,0.2384276347841682
2396530698208685312,undefined,,3828.11669921875,7.848499027075768,,2.8095762835639637,0.5243484260773884,0.5450162183637905,0.4196703126007556,0.7228422152302444,1.367879959287822,1.266008167492823,2.078398277754807,1.128705151098016,1.272650292578725,0.2389482158840397
4291123545113039616,undefined,,3831.62158203125,9.30698115056038,,2.7997102523802817,0.524170682303209,0.5463730792878086,0.4230849958117532,0.7262969533762683,1.369284385447184,1.2660482224278495,2.079700063143164,1.1307104012827731,1.278593443563262,0.2398587222258895
5334356223546958464,undefined,,3844.5712890625,8.708281931705475,,2.7632576175206536,0.523513961401145,0.5513863571599017,0.435701436803515,0.7390613878107487,1.3744734055325054,1.2661962158705675,2.084509850031519,1.1381193230088738,1.3005519706266362,0.2431526870636501
732857558276385664,undefined,,3869.18115234375,8.292123832478524,,2.6939823545381056,0.5222659168257173,0.5609136833554208,0.4596779551258176,0.763319155614838,1.384334715487646,1.2664774653523545,2.0936504581895816,1.1521993751908124,1.3422823624867142,0.2491227795984628
3057712188691831936,undefined,,3874.290771484375,8.905324560246468,,2.6795990885417798,0.5220067917595566,0.5628917930154078,0.4646560761151578,0.7683556709852848,1.3863821684751971,1.266535859733461,2.095548275575547,1.1551227438949632,1.3509466287834104,0.2503170108746586
383426372059603712,undefined,,3875.679931640625,8.960495277323723,,2.675688687494472,0.5219363430220892,0.5634295847859332,0.4660094856631222,0.7697249563050728,1.386938812724763,1.2665517355052849,2.096064238159815,1.1559175247218836,1.3533021964277414,0.2506390884791005
